customer_id,first_name,last_name,email,phone,registration_date,city,state,country,age_group
CUST000001,Casey,Flores,cust000001@example.com,9781920968771,2025-06-05,New Kristin,New Hampshire,French Southern Territories,26-35
CUST000002,Kevin,Wheeler,cust000002@example.com,0402651606022,2024-01-05,North Josephbury,Nebraska,Mexico,36-45
CUST000003,Colleen,Phillips,cust000003@example.com,5868460282546,2025-07-13,Lake Jacqueline,Alaska,Malawi,36-45
CUST000004,Corey,Lopez,cust000004@example.com,4631535142674,2024-02-22,Seanside,New York,Kyrgyz Republic,26-35
CUST000005,Benjamin,Bridges,cust000005@example.com,2545033320272,2024-04-27,Ayalaview,Arkansas,Gambia,36-45
CUST000006,Jose,Willis,cust000006@example.com,6897738710974,2024-08-23,Nicoleshire,Rhode Island,Slovenia,60+
CUST000007,Brian,Duncan,cust000007@example.com,3708652947922,2024-01-15,Kristiberg,Illinois,Greece,26-35
CUST000008,Jorge,Vega,cust000008@example.com,8274524583829,2024-11-18,Port Vickifort,Georgia,Poland,46-60
CUST000009,Lisa,Stuart,cust000009@example.com,6708650573373,2024-05-31,East Jeffreytown,Oklahoma,Saint Pierre and Miquelon,26-35
CUST000010,Nathan,Merritt,cust000010@example.com,8540680117430,2025-11-19,New Elizabeth,Colorado,United Arab Emirates,60+
CUST000011,Brian,Gonzalez,cust000011@example.com,2837352398196,2024-09-20,New Robin,Washington,Niger,26-35
CUST000012,Christopher,Boyd,cust000012@example.com,9100187296844,2025-02-02,South Kellytown,Colorado,Haiti,18-25
CUST000013,Melissa,Yoder,cust000013@example.com,0636590762914,2024-10-24,Juliechester,Illinois,Estonia,26-35
CUST000014,Emily,Bell,cust000014@example.com,7264438510450,2025-08-26,Sheriview,Texas,Pakistan,46-60
CUST000015,Kelly,Williams,cust000015@example.com,2038825412377,2024-11-30,New Timothy,Colorado,Iran,26-35
CUST000016,Erika,Christian,cust000016@example.com,1515388486006,2025-04-16,Chelseaberg,Washington,Lesotho,60+
CUST000017,Jessica,Lamb,cust000017@example.com,5909266631756,2025-12-24,Wallsville,Louisiana,Australia,60+
CUST000018,Maria,Barber,cust000018@example.com,3948195120929,2025-04-24,Andreaside,Oklahoma,Botswana,46-60
CUST000019,Travis,Lopez,cust000019@example.com,4911494112020,2024-04-17,Port Pamela,Arkansas,Niue,46-60
CUST000020,Frank,Garcia,cust000020@example.com,5046982663284,2025-06-02,Williamchester,Missouri,Hong Kong,46-60
CUST000021,Michael,Williams,cust000021@example.com,1858953661277,2024-04-02,Rebeccaland,Illinois,Bouvet Island (Bouvetoya),60+
CUST000022,Anthony,West,cust000022@example.com,1401969201336,2024-12-05,Jasonland,North Dakota,Kuwait,60+
CUST000023,Amanda,Peterson,cust000023@example.com,0555712090146,2024-12-31,Elizabethview,Kentucky,Taiwan,26-35
CUST000024,Julia,Jones,cust000024@example.com,1974954948358,2024-11-25,West Briantown,New Jersey,Barbados,26-35
CUST000025,Douglas,White,cust000025@example.com,1591984920648,2024-10-05,Pacemouth,New Jersey,Liberia,18-25
CUST000026,Michelle,Lewis,cust000026@example.com,9006300422004,2025-12-03,Lake Jasonhaven,Idaho,Thailand,46-60
CUST000027,Andrew,Salazar,cust000027@example.com,4292936864268,2025-12-15,East Nicoleshire,Arkansas,Kiribati,36-45
CUST000028,Jeffery,Manning,cust000028@example.com,4211254379513,2025-02-17,Rosalesfurt,Alaska,Central African Republic,36-45
CUST000029,Brian,Gilbert,cust000029@example.com,2149785460395,2025-03-23,Jeffreystad,North Dakota,Vanuatu,36-45
CUST000030,Matthew,Porter,cust000030@example.com,2754815626347,2025-06-27,South Amy,Tennessee,Germany,46-60
CUST000031,Lindsey,Rodriguez,cust000031@example.com,9575434277292,2025-04-30,Nicholasview,Oklahoma,Mozambique,46-60
CUST000032,Matthew,Hansen,cust000032@example.com,0932319706550,2024-10-31,West Gary,South Carolina,Benin,36-45
CUST000033,Anthony,Dillon,cust000033@example.com,7504211166291,2025-02-14,Smithland,Wisconsin,Burundi,60+
CUST000034,Jacob,Smith,cust000034@example.com,1821379283052,2024-10-29,Port Ashleeport,Washington,Sudan,46-60
CUST000035,Autumn,Knight,cust000035@example.com,3596818438905,2024-02-05,Ronaldfurt,Maine,Cote d'Ivoire,60+
CUST000036,Robert,Costa,cust000036@example.com,4373258520566,2024-08-18,Lindaberg,Nebraska,Holy See (Vatican City State),60+
CUST000037,Natalie,Smith,cust000037@example.com,3948100224736,2025-06-27,New Tyler,Nebraska,Cambodia,18-25
CUST000038,Alexander,Clark,cust000038@example.com,6980303621924,2024-01-28,Lake Lauratown,New Hampshire,Togo,46-60
CUST000039,Gregory,Black,cust000039@example.com,3481810818879,2025-04-08,West Scott,Kansas,Botswana,36-45
CUST000040,Tommy,Melendez,cust000040@example.com,3995014888615,2024-10-31,Ginastad,Indiana,Moldova,60+
CUST000041,Logan,Lewis,cust000041@example.com,4611049247943,2025-10-21,New Lisafurt,Delaware,Ireland,26-35
CUST000042,Jacob,Diaz,cust000042@example.com,3019897978802,2024-11-26,New Melissa,Montana,Ecuador,46-60
CUST000043,Jane,Gonzalez,cust000043@example.com,3965087714311,2025-02-05,New Tamara,Iowa,North Macedonia,26-35
CUST000044,Alice,Smith,cust000044@example.com,8165667851368,2024-06-11,West Stevenview,Kentucky,Isle of Man,46-60
CUST000045,Kimberly,Gilbert,cust000045@example.com,4028861456668,2025-11-23,South Shawn,Arkansas,Indonesia,36-45
CUST000046,Ryan,Jones,cust000046@example.com,2694564409287,2025-04-06,Lake Nicholas,New York,Gabon,26-35
CUST000047,Jose,Nguyen,cust000047@example.com,9587950594336,2024-08-18,Port Howardfurt,Alabama,Northern Mariana Islands,26-35
CUST000048,Christine,Carlson,cust000048@example.com,3482348338720,2024-10-13,North Brittanyfort,Connecticut,Dominica,60+
CUST000049,Tony,Cherry,cust000049@example.com,0061727000401,2025-12-22,Shannonland,Ohio,Japan,36-45
CUST000050,Teresa,Sanchez,cust000050@example.com,8458623926503,2025-09-16,South Nathan,Maryland,Holy See (Vatican City State),36-45
CUST000051,Karen,Marshall,cust000051@example.com,8090914548428,2025-03-30,North Tinabury,North Carolina,Italy,60+
CUST000052,Sabrina,Wilson,cust000052@example.com,6249525332164,2024-06-24,South Tiffany,Louisiana,Pakistan,46-60
